PERSON_ID,DISPLAY_FIRST_LAST,name,url,bbref_id
77717,John Niemiera,Richie Niemiera,https://www.basketball-reference.com/players/n/niemiri01.html,niemiri01
77727,Robert Nordmann,Bevo Nordmann,https://www.basketball-reference.com/players/n/nordmbe01.html,nordmbe01
1629668,Zach Norvell Jr.,Zach Norvell,https://www.basketball-reference.com/players/n/norveza01.html,norveza01
203948,Johnny O'Bryant III,Johnny O'Bryant,https://www.basketball-reference.com/players/o/obryajo01.html,obryajo01
77750,Francis O'Grady,Buddy O'Grady,https://www.basketball-reference.com/players/o/ogradbu01.html,ogradbu01
77747,Carlos Ogden,Bud Ogden,https://www.basketball-reference.com/players/o/ogdenbu01.html,ogdenbu01
77758,Johnny Oldham,John Oldham,https://www.basketball-reference.com/players/o/oldhajo01.html,oldhajo01
77765,Enoch Olsen,Bud Olsen,https://www.basketball-reference.com/players/o/olsenbu01.html,olsenbu01
77783,James Owens,Red Owens,https://www.basketball-reference.com/players/o/owensre01.html,owensre01
77797,Estes Parham,Easy Parham,https://www.basketball-reference.com/players/p/parhaea01.html,parhaea01
77799,Medford Park,Med Park,https://www.basketball-reference.com/players/p/parkme01.html,parkme01
77813,Tommy Patterson,Tom Patterson,https://www.basketball-reference.com/players/p/patteto01.html,patteto01
77852,Mike Phelps,Michael Phelps,https://www.basketball-reference.com/players/p/phelpmi01.html,phelpmi01
77864,Charlie Pittman,Charles Pittman,https://www.basketball-reference.com/players/p/pittmch01.html,pittmch01
201985,AJ Price,A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,priceaj01
77894,Luke Rackley,Luther Rackley,https://www.basketball-reference.com/players/r/rackllu01.html,rackllu01
77938,Joseph Reiser,Chick Reiser,https://www.basketball-reference.com/players/r/reisech01.html,reisech01
77942,Rob Rensberger,Bob Rensberger,https://www.basketball-reference.com/players/r/rensbro01.html,rensbro01
1629244,Cam Reynolds,Cameron Reynolds,https://www.basketball-reference.com/players/r/reynoca01.html,reynoca01
2369,Norman Richardson,Norm Richardson,https://www.basketball-reference.com/players/r/richano01.html,richano01
77968,Goebel Ritter,Tex Ritter,https://www.basketball-reference.com/players/r/rittete01.html,rittete01
78016,Robert Rose,Rob Rose,https://www.basketball-reference.com/players/r/rosero01.html,rosero01
